DATE,INDPRO_CHG
1962-09-01,0.1661
1962-10-01,0.0277
1962-11-01,0.1108
1962-12-01,0.0000
1963-01-01,0.1938
1963-02-01,0.3047
1963-03-01,0.1661
1963-04-01,0.2493
1963-05-01,0.3323
1963-06-01,0.0831
1963-07-01,-0.1108
1963-08-01,0.0554
1963-09-01,0.2769
1963-10-01,0.1938
1963-11-01,0.1385
1963-12-01,-0.0554
1964-01-01,0.2493
1964-02-01,0.1938
1964-03-01,0.0000
1964-04-01,0.4708
1964-05-01,0.1662
1964-06-01,0.0830
1964-07-01,0.1939
1964-08-01,0.1938
1964-09-01,0.1108
1964-10-01,-0.4154
1964-11-01,0.9139
1964-12-01,0.3600
1965-01-01,0.3323
1965-02-01,0.1939
1965-03-01,0.4153
1965-04-01,0.1385
1965-05-01,0.2492
1965-06-01,0.2493
1965-07-01,0.3046
1965-08-01,0.1384
1965-09-01,0.0831
1965-10-01,0.3324
1965-11-01,0.1384
1965-12-01,0.4154
1966-01-01,0.3323
1966-02-01,0.2216
1966-03-01,0.4707
1966-04-01,0.0554
1966-05-01,0.3323
1966-06-01,0.1662
1966-07-01,0.1938
1966-08-01,0.0277
1966-09-01,0.3323
1966-10-01,0.2492
1966-11-01,-0.2492
1966-12-01,0.0831
1967-01-01,0.1701
1967-02-01,-0.4109
1967-03-01,-0.2019
1967-04-01,0.3359
1967-05-01,-0.3136
1967-06-01,-0.0045
1967-07-01,-0.0811
1967-08-01,0.6811
1967-09-01,-0.0588
1967-10-01,0.2946
1967-11-01,0.5215
1967-12-01,0.3984
1968-01-01,-0.0403
1968-02-01,0.1339
1968-03-01,0.1170
1968-04-01,0.0544
1968-05-01,0.4223
1968-06-01,0.1399
1968-07-01,-0.0586
1968-08-01,0.1065
1968-09-01,0.1449
1968-10-01,0.0762
1968-11-01,0.4978
1968-12-01,0.1231
1969-01-01,0.2366
1969-02-01,0.2517
1969-03-01,0.3105
1969-04-01,-0.1468
1969-05-01,-0.1503
1969-06-01,0.3869
1969-07-01,0.2112
1969-08-01,0.0924
1969-09-01,-0.0091
1969-10-01,0.0118
1969-11-01,-0.3799
1969-12-01,-0.1071
1970-01-01,-0.7372
1970-02-01,-0.0258
1970-03-01,-0.0507
1970-04-01,-0.1002
1970-05-01,-0.0454
1970-06-01,-0.1256
1970-07-01,0.0950
1970-08-01,-0.0692
1970-09-01,-0.2671
1970-10-01,-0.7699
1970-11-01,-0.2284
1970-12-01,0.8609
1971-01-01,0.2950
1971-02-01,-0.0737
1971-03-01,-0.0417
1971-04-01,0.2163
1971-05-01,0.1966
1971-06-01,0.1633
1971-07-01,-0.1135
1971-08-01,-0.2263
1971-09-01,0.6300
1971-10-01,0.2949
1971-11-01,0.1685
1971-12-01,0.4601
1972-01-01,0.9699
1972-02-01,0.3989
1972-03-01,0.2881
1972-04-01,0.4437
1972-05-01,-0.0220
1972-06-01,0.1203
1972-07-01,-0.0186
1972-08-01,0.5649
1972-09-01,0.3289
1972-10-01,0.5800
1972-11-01,0.5201
